  #K-Path    Energy        Zn        Al         S
# NKPTS & NBANDS: 120  52
# Band-Index    1
    0.562  -12.3458     0.020     0.022     0.612
    0.529  -12.3423     0.020     0.022     0.612
    0.496  -12.3375     0.020     0.022     0.612
    0.463  -12.3315     0.020     0.022     0.616
    0.430  -12.3244     0.020     0.020     0.616
    0.396  -12.3163     0.022     0.020     0.616
    0.363  -12.3075     0.022     0.020     0.618
    0.330  -12.2980     0.022     0.020     0.620
    0.297  -12.2882     0.022     0.020     0.622
    0.264  -12.2783     0.022     0.018     0.620
    0.231  -12.2685     0.022     0.018     0.622
    0.198  -12.2592     0.022     0.018     0.622
    0.165  -12.2506     0.022     0.018     0.626
    0.132  -12.2430     0.022     0.016     0.626
    0.099  -12.2367     0.022     0.016     0.628
    0.066  -12.2320     0.022     0.016     0.628
    0.033  -12.2291     0.022     0.016     0.628
    0.000  -12.2282     0.022     0.016     0.628
 
# Band-Index    5
    0.000  -12.2282     0.022     0.017     0.630
    0.033  -12.2290     0.022     0.016     0.630
    0.066  -12.2315     0.024     0.016     0.630
    0.099  -12.2354     0.024     0.016     0.630
    0.132  -12.2408     0.024     0.016     0.626
    0.165  -12.2474     0.024     0.016     0.626
    0.198  -12.2550     0.026     0.016     0.626
    0.231  -12.2633     0.026     0.016     0.624
    0.264  -12.2720     0.026     0.016     0.624
    0.297  -12.2808     0.028     0.016     0.622
    0.330  -12.2894     0.028     0.016     0.622
    0.363  -12.2974     0.030     0.016     0.616
    0.396  -12.3046     0.030     0.012     0.616
    0.430  -12.3106     0.032     0.012     0.616
    0.463  -12.3151     0.032     0.012     0.616
    0.496  -12.3178     0.034     0.012     0.616
    0.529  -12.3185     0.034     0.012     0.616
    0.562  -12.3169     0.034     0.012     0.616
    0.595  -12.3126     0.036     0.012     0.616
    0.628  -12.3054     0.036     0.010     0.616
    0.628  -12.3054     0.036     0.010     0.616
    0.639  -12.3052     0.036     0.010     0.616
    0.651  -12.3047     0.036     0.010     0.616
    0.663  -12.3038     0.036     0.010     0.616
    0.674  -12.3025     0.036     0.010     0.616
    0.686  -12.3010     0.036     0.010     0.616
    0.698  -12.2990     0.036     0.010     0.616
    0.710  -12.2967     0.036     0.010     0.616
    0.721  -12.2941     0.036     0.010     0.616
    0.733  -12.2912     0.036     0.010     0.616
    0.745  -12.2879     0.036     0.010     0.616
    0.756  -12.2843     0.036     0.010     0.616
    0.768  -12.2804     0.034     0.010     0.616
    0.780  -12.2763     0.034     0.010     0.620
    0.791  -12.2718     0.034     0.010     0.620
    0.803  -12.2671     0.034     0.010     0.620
    0.815  -12.2622     0.034     0.010     0.620
    0.826  -12.2570     0.034     0.010     0.620
    0.838  -12.2516     0.034     0.010     0.620
    0.850  -12.2461     0.034     0.010     0.620
    0.850  -12.2461     0.034     0.010     0.620
    0.885  -12.2286     0.032     0.010     0.620
    0.920  -12.2105     0.030     0.010     0.624
    0.955  -12.1932     0.030     0.012     0.624
    0.990  -12.1735     0.022     0.018     0.624
    1.025  -12.1423     0.022     0.018     0.628
    1.060  -12.1098     0.022     0.018     0.632
    1.095  -12.0765     0.022     0.018     0.632
    1.130  -12.0430     0.022     0.016     0.636
    1.165  -12.0709     0.024     0.014     0.640
    1.200  -12.0985     0.024     0.014     0.640
    1.235  -12.1241     0.024     0.014     0.636
    1.270  -12.1474     0.024     0.014     0.636
    1.305  -12.1681     0.024     0.016     0.632
    1.340  -12.1861     0.024     0.016     0.632
    1.375  -12.2010     0.022     0.016     0.632
    1.410  -12.2128     0.022     0.016     0.632
    1.445  -12.2213     0.022     0.016     0.630
    1.480  -12.2265     0.022     0.016     0.628
    1.516  -12.2282     0.022     0.017     0.630
    1.516  -12.2282     0.022     0.017     0.630
    1.544  -12.2277     0.022     0.016     0.628
    1.573  -12.2261     0.022     0.016     0.628
    1.601  -12.2235     0.022     0.016     0.628
    1.630  -12.2199     0.022     0.016     0.628
    1.659  -12.2153     0.022     0.016     0.628
    1.687  -12.2097     0.022     0.016     0.628
    1.716  -12.2031     0.022     0.015     0.630
    1.744  -12.1955     0.022     0.015     0.630
    1.773  -12.1871     0.022     0.017     0.630
    1.802  -12.1778     0.022     0.017     0.630
    1.830  -12.1677     0.022     0.017     0.630
    1.859  -12.1569     0.022     0.016     0.630
    1.888  -12.1456     0.022     0.016     0.630
    1.916  -12.1338     0.022     0.017     0.630
    1.945  -12.1220     0.022     0.017     0.630
    1.973  -12.1107     0.022     0.016     0.630
    2.002  -12.1006     0.022     0.017     0.632
    2.031  -12.0932     0.022     0.017     0.632
    2.059  -12.0904     0.022     0.018     0.632
    2.059  -12.0904     0.022     0.018     0.632
    2.083  -12.0907     0.022     0.017     0.632
    2.106  -12.0909     0.022     0.018     0.632
    2.129  -12.0905     0.022     0.017     0.636
    2.153  -12.0889     0.022     0.016     0.636
    2.176  -12.0857     0.022     0.015     0.638
    2.199  -12.0812     0.022     0.015     0.638
    2.223  -12.0752     0.022     0.016     0.640
    2.246  -12.0680     0.022     0.015     0.640
    2.269  -12.0596     0.022     0.015     0.640
