  #K-Path    Energy        Zn        In         S
# NKPTS & NBANDS: 120  76
# Band-Index    1
    0.969  -14.0719     0.000     0.890     0.056
    1.002  -14.0512     0.000     0.898     0.052
    1.035  -14.0308     0.000     0.906     0.044
    1.068  -14.0109     0.000     0.914     0.040
    1.101  -13.9918     0.000     0.922     0.036
    1.134  -13.9856     0.000     0.934     0.024
    1.167  -13.9866     0.000     0.922     0.024
    1.201  -13.9904     0.000     0.914     0.032
    1.234  -13.9951     0.000     0.908     0.032
    1.267  -13.9918     0.000     0.950     0.016
    1.300  -13.9828     0.000     0.958     0.008
    1.333  -13.9768     0.000     0.962     0.008
    1.366  -13.9731     0.000     0.962     0.008
    1.399  -13.9711     0.000     0.965     0.008
    1.432  -13.9705     0.000     0.964     0.008
    1.432  -13.9705     0.000     0.964     0.008
    1.459  -13.9707     0.000     0.965     0.008
    1.486  -13.9714     0.000     0.965     0.008
    1.514  -13.9726     0.000     0.963     0.008
    1.541  -13.9747     0.000     0.961     0.006
    1.568  -13.9779     0.000     0.959     0.010
    1.595  -13.9827     0.000     0.955     0.010
    1.622  -13.9893     0.000     0.950     0.014
    1.649  -13.9982     0.000     0.942     0.020
    1.676  -14.0094     0.000     0.934     0.028
    1.703  -14.0227     0.000     0.926     0.033
    1.730  -14.0376     0.000     0.917     0.036
    1.757  -14.0537     0.000     0.910     0.044
    1.784  -14.0704     0.000     0.901     0.048
    1.811  -14.0872     0.000     0.895     0.054
    1.838  -14.1034     0.000     0.888     0.058
    1.865  -14.1182     0.000     0.883     0.060
    1.892  -14.1305     0.000     0.877     0.064
    1.919  -14.1389     0.000     0.874     0.066
    1.946  -14.1419     0.000     0.873     0.068
    1.946  -14.1419     0.000     0.873     0.068
    1.968  -14.1419     0.000     0.874     0.068
    1.990  -14.1419     0.000     0.874     0.068
    2.012  -14.1420     0.000     0.873     0.066
    2.035  -14.1421     0.000     0.871     0.066
    2.057  -14.1421     0.000     0.872     0.066
    2.079  -14.1420     0.000     0.870     0.068
    2.101  -14.1418     0.000     0.870     0.070
    2.123  -14.1412     0.000     0.871     0.068
    2.145  -14.1403     0.000     0.870     0.070
    2.167  -14.1389     0.002     0.869     0.068
    2.189  -14.1370     0.002     0.869     0.070
    2.211  -14.1345     0.002     0.870     0.068
    2.233  -14.1312     0.002     0.869     0.068
    2.255  -14.1272     0.002     0.873     0.066
    2.277  -14.1223     0.002     0.874     0.068
    2.300  -14.1165     0.002     0.875     0.066
    2.322  -14.1098     0.002     0.878     0.064
    2.344  -14.1022     0.002     0.879     0.060
    2.366  -14.0939     0.001     0.883     0.060
    2.366  -14.0939     0.001     0.883     0.060
    2.381  -14.0937     0.001     0.883     0.060
    2.397  -14.0932     0.001     0.883     0.060
    2.413  -14.0923     0.001     0.882     0.058
    2.428  -14.0911     0.001     0.883     0.057
    2.444  -14.0897     0.001     0.884     0.058
    2.459  -14.0880     0.001     0.884     0.060
    2.475  -14.0862     0.001     0.885     0.060
    2.491  -14.0844     0.000     0.885     0.060
    2.506  -14.0824     0.000     0.886     0.060
    2.522  -14.0805     0.000     0.886     0.060
    2.537  -14.0787     0.000     0.887     0.058
    2.553  -14.0770     0.000     0.886     0.058
